Dataset: bibtex (16/18 trials, epochs=75)

  hidden   energy       lr_e       lr_t     val_f1    test_f1   epoch     time
--------------------------------------------------------------------------------
     768      768    0.00100    0.00100     0.4546     0.4409      54   117.5s
     512      512    0.00100    0.00100     0.4525     0.4397      49   128.6s
     512      512    0.01000    0.00100     0.4507     0.4442      44   158.2s
     512      512    0.00500    0.00100     0.4476     0.4390      44   125.5s
     768      768    0.00500    0.00500     0.3836     0.3666      69   123.9s
     512      512    0.00100    0.00500     0.3825     0.3771      75   145.6s
     768      768    0.00100    0.00500     0.3806     0.3644      71   133.5s
     512      512    0.00500    0.00500     0.3804     0.3672      64   136.4s
     512      512    0.01000    0.00500     0.3794     0.3665      73   114.8s
     768      768    0.01000    0.00500     0.3684     0.3532      52   128.8s
     512      512    0.00500    0.01000     0.3248     0.3173      64   113.2s
     768      768    0.00100    0.01000     0.3211     0.3142      73   103.5s
     768      768    0.00500    0.01000     0.3165     0.3003      74   130.2s
     512      512    0.00100    0.01000     0.3165     0.3081      64   122.3s
     512      512    0.01000    0.01000     0.3108     0.2975      44   137.1s
     768      768    0.01000    0.01000     0.3007     0.2969      73   119.9s
