Dataset: cal500 (18/18 trials, epochs=75)

  hidden   energy       lr_e       lr_t     val_f1    test_f1   epoch     time
--------------------------------------------------------------------------------
     768      768    0.01000    0.00500     0.4340     0.4443      50     7.4s
     512      512    0.01000    0.00500     0.4266     0.4323      11     6.9s
     512      512    0.01000    0.00100     0.4216     0.4342      63     7.4s
     512      512    0.00500    0.00100     0.4204     0.4253      75     7.4s
     512      512    0.00100    0.00500     0.4188     0.4152      55     6.2s
     768      768    0.00500    0.00500     0.4186     0.4236      28     7.6s
     768      768    0.01000    0.01000     0.4161     0.4300       2     8.6s
     768      768    0.01000    0.00100     0.4150     0.4230      52     7.7s
     768      768    0.00500    0.01000     0.4138     0.4209       1    19.2s
     512      512    0.00500    0.00500     0.4131     0.4180       1    20.6s
     512      512    0.01000    0.01000     0.4075     0.4283      53     8.5s
     512      512    0.00500    0.01000     0.4075     0.4095      38     7.4s
     768      768    0.00100    0.00500     0.4058     0.4183      41    13.1s
     512      512    0.00100    0.01000     0.3971     0.4234      21    18.0s
     768      768    0.00500    0.00100     0.3954     0.4104      38     6.3s
     768      768    0.00100    0.00100     0.3887     0.3935       4     7.5s
     768      768    0.00100    0.01000     0.3849     0.3948      17     6.9s
     512      512    0.00100    0.00100     0.3818     0.3795      28     5.9s
