SEAL Corrective Energy Alignment - Grid Search Results
Date: 20260304_190111
Epochs: 70, Mode: inline (no correction interval)
Grid: hidden_dim=[64, 256, 512] x energy_hidden=[64, 256, 512]

  hidden_dim  energy_hidden     val_f1    test_f1   epoch     time
--------------------------------------------------------------------------------
         512            512     0.4611     0.4434      46   115.9s
         512            256     0.4537     0.4380      46   185.8s
         512             64     0.4508     0.4398      45   114.6s
         256            256     0.4435     0.4318      69    65.9s
         256             64     0.4434     0.4270      63    63.2s
         256            512     0.4328     0.4317      60    74.9s
          64            512     0.3893     0.3801      69    29.5s
          64            256     0.3825     0.3707      52    27.8s
          64             64     0.3698     0.3660      69    26.3s
