SEAL Corrective - Grid Search (intermediate, 9/9 trials)
lr_energy=[0.001, 0.005, 0.01] x lr_task=[0.001, 0.005, 0.01]

   lr_energy      lr_task     val_f1    test_f1   epoch     time
----------------------------------------------------------------------
     0.00500      0.00100     0.4525     0.4428      66   110.9s
     0.01000      0.00100     0.4521     0.4419      33   107.8s
     0.00100      0.00100     0.4470     0.4365      43   121.6s
     0.00500      0.00500     0.3759     0.3657      58   119.5s
     0.01000      0.00500     0.3674     0.3526      46   106.6s
     0.00100      0.00500     0.3672     0.3537      67   103.3s
     0.00500      0.01000     0.3271     0.3178      46   145.6s
     0.00100      0.01000     0.3159     0.3011      67    91.6s
     0.01000      0.01000     0.3135     0.2976      43   115.3s
